File Name,Parts Found
Insect-CR-306_S_3_T_1_CA_8,"Upper Back Legs,Neck,Claws,Upper Front Legs,Eyes,Wing,Foot Top,Mouth,Teeth,Lower Back Legs,Torso Back,Muzzle,Torso Front,Lower Front Legs,Nose,Horns,Tail,Head"
Grizzlybear-CR-44_S_3_T_0_CA_118,"Upper Back Legs,Ears,Head,Neck,Torso Front,Eyes,Torso Back,Lower Front Legs,Upper Front Legs,Foot Top,Lower Back Legs,Nose,Foot Bottom,Muzzle"
Manatee-CR-278_S_1_T_1_CA_28,"Mouth,Head,Wing,Eyes,Neck,Nose,Muzzle,Torso Back,Tail,Torso Front,Horns"
nt Legs,Eyes,Ears,Torso Back,Head,Muzzle"
HBird-CR-144_S_1_T_0_CA_40,"Upper Back Legs,Neck,Claws,Foot Bottom,Eyes,Wing,Foot Top,Tail,Torso Back,Muzzle,Torso Front,Head"
Dragonfly-CR-318_S_1_T_0_CA_92,"Upper Back Legs,Tail,Mouth,Head,Wing,Eyes,Teeth,Torso Back,Lower Back Legs,Lower Front Legs,Upper Front Legs,Torso Front"
Dino-CR-94_S_1_T_0_CA_27,"Teeth,Upper Back Legs,Ears,Claws,Mouth,Tail,Head,Neck,Torso Front,Eyes,Torso Back,Lower Front Legs,Upper Front Legs,Foot Top,Lower Back Legs,Nose,Muzzle"
Lynx-CR-14_S_1_T_2_CA_52,"Lower Back Legs,Torso Front,Foot Bottom,Claws,Nose,Foot Top,Neck,Upper Back Legs,Upper Front Legs,Eyes,Ears,Torso Back,Lower Front Legs,Head,Muzzle"
Mantis-CR-188_S_2_T_0_CA_72,"Upper Back Legs,Neck,Claws,Upper Front Legs,Eyes,Wing,Teeth,Lower Back Legs,Torso Back,Muzzle,Torso Front,Lower Front Legs,Tail,Head"
Moth-CR-103_S_3_T_2_CA_148,"Upper Back Legs,Tail,Mouth,Head,Wing,Eyes,Neck,Muzzle,Torso Back,Lower Back Legs,Claws,Lower Front Legs,Upper Front Legs,Torso Front,Horns"
